segment_id,lat,lng
kushira_shogyo_to_kushira,31.390250,130.955991
kushira_shogyo_to_kushira,31.390040,130.956573
kushira_shogyo_to_kushira,31.390010,130.956779
kushira_shogyo_to_kushira,31.390099,130.957401
kushira_shogyo_to_kushira,31.390130,130.957499
kushira_shogyo_to_kushira,31.390399,130.958047
kushira_shogyo_to_kushira,31.390405,130.958069
higashikasanohara_to_kushira_shogyo,31.388442,130.894665
higashikasanohara_to_kushira_shogyo,31.389820,130.899455
higashikasanohara_to_kushira_shogyo,31.389823,130.899979
higashikasanohara_to_kushira_shogyo,31.389740,130.900389
higashikasanohara_to_kushira_shogyo,31.389376,130.901235
higashikasanohara_to_kushira_shogyo,31.389310,130.901538
higashikasanohara_to_kushira_shogyo,31.389328,130.901853
higashikasanohara_to_kushira_shogyo,31.389463,130.902241
higashikasanohara_to_kushira_shogyo,31.390200,130.903561
higashikasanohara_to_kushira_shogyo,31.390284,130.903861
higashikasanohara_to_kushira_shogyo,31.390464,130.908274
higashikasanohara_to_kushira_shogyo,31.390677,130.908848
higashikasanohara_to_kushira_shogyo,31.390899,130.909178
higashikasanohara_to_kushira_shogyo,31.393277,130.911237
higashikasanohara_to_kushira_shogyo,31.393619,130.911847
higashikasanohara_to_kushira_shogyo,31.393670,130.912154
higashikasanohara_to_kushira_shogyo,31.394154,130.939511
higashikasanohara_to_kushira_shogyo,31.394344,130.939988
higashikasanohara_to_kushira_shogyo,31.394895,130.940811
higashikasanohara_to_kushira_shogyo,31.395025,130.941194
higashikasanohara_to_kushira_shogyo,31.395060,130.941400
higashikasanohara_to_kushira_shogyo,31.395048,130.942344
higashikasanohara_to_kushira_shogyo,31.394876,130.942941
higashikasanohara_to_kushira_shogyo,31.394090,130.944941
higashikasanohara_to_kushira_shogyo,31.393982,130.945665
higashikasanohara_to_kushira_shogyo,31.394005,130.946182
higashikasanohara_to_kushira_shogyo,31.393943,130.946257
higashikasanohara_to_kushira_shogyo,31.393797,130.946377
higashikasanohara_to_kushira_shogyo,31.393702,130.946555
higashikasanohara_to_kushira_shogyo,31.393133,130.949060
kotobuki_to_higashikasanohara,31.386091,130.859959
kotobuki_to_higashikasanohara,31.388123,130.893323
kotobuki_to_higashikasanohara,31.388442,130.894665
shibushi_hs_to_shibushi_eki_ue,31.469663,131.087710
shibushi_hs_to_shibushi_eki_ue,31.470032,131.088426
shibushi_hs_to_shibushi_eki_ue,31.470092,131.088505
shibushi_hs_to_shibushi_eki_ue,31.472876,131.093402
shibushi_hs_to_shibushi_eki_ue,31.473735,131.096055
tarumizu_to_minatohira,31.493619,130.698182
tarumizu_to_minatohira,31.493559,130.698378
tarumizu_to_minatohira,31.493580,130.698566
tarumizu_to_minatohira,31.493439,130.699061
tarumizu_to_minatohira,31.493359,130.699098
tarumizu_to_minatohira,31.493270,130.699090
tarumizu_to_minatohira,31.493208,130.699143
tarumizu_to_minatohira,31.492242,130.701523
tarumizu_to_minatohira,31.489180,130.700080
tarumizu_to_minatohira,31.486314,130.697544
tarumizu_to_minatohira,31.486067,130.697419
tarumizu_to_minatohira,31.486054,130.697408
tarumizu_to_minatohira,31.485442,130.697002
tarumizu_to_minatohira,31.485379,130.696930
tarumizu_to_minatohira,31.483532,130.695856
tarumizu_to_minatohira,31.482435,130.695758
minatohira_to_tarumizu,31.482435,130.695758
minatohira_to_tarumizu,31.483424,130.695825
minatohira_to_tarumizu,31.485361,130.696918
minatohira_to_tarumizu,31.486048,130.697409
minatohira_to_tarumizu,31.486054,130.697408
minatohira_to_tarumizu,31.489322,130.700164
minatohira_to_tarumizu,31.492232,130.701545
minatohira_to_tarumizu,31.493199,130.699165
minatohira_to_tarumizu,31.493215,130.699075
minatohira_to_tarumizu,31.493181,130.698986
minatohira_to_tarumizu,31.493237,130.698787
minatohira_to_tarumizu,31.493462,130.698458
minatohira_to_tarumizu,31.493542,130.698432
minatohira_to_tarumizu,31.493619,130.698182
tarumizu_port_to_tarumizu,31.484401,130.691989
tarumizu_port_to_tarumizu,31.484487,130.691970
tarumizu_port_to_tarumizu,31.484570,130.691990
tarumizu_port_to_tarumizu,31.484615,130.692076
tarumizu_port_to_tarumizu,31.484630,130.692496
tarumizu_port_to_tarumizu,31.484614,130.692598
tarumizu_port_to_tarumizu,31.484557,130.692673
tarumizu_port_to_tarumizu,31.482676,130.692738
tarumizu_port_to_tarumizu,31.482611,130.692768
tarumizu_port_to_tarumizu,31.483115,130.695652
tarumizu_port_to_tarumizu,31.483151,130.695749
tarumizu_port_to_tarumizu,31.483221,130.695788
tarumizu_port_to_tarumizu,31.484315,130.696244
tarumizu_port_to_tarumizu,31.485415,130.696958
tarumizu_port_to_tarumizu,31.485479,130.697028
tarumizu_port_to_tarumizu,31.485736,130.697203
tarumizu_port_to_tarumizu,31.489298,130.700151
tarumizu_port_to_tarumizu,31.492213,130.701536
